Cost Category,Definition,Default Calculation Basis,Example Value,Notes
Unit Price,Base price quoted by supplier per unit,Direct from quote (normalized to EUR),8.95,"Currency normalization: use spot rate on quote date, add 3-5% FX buffer for volatile currencies (TRY, ARS, ZAR)"
Freight In,Cost to move goods from supplier FCA/FOB point to your receiving dock,Per-unit freight (total shipping / units),0.75,"For sea freight: include demurrage allowance of 2-4% of FOB value. Red Sea routing adds 10-14 days + ~15% freight premium in 2026"
Import Duties,Customs duties applied at country of entry based on HTS/CN code,HTS rate × declared value,0.54,"Verify HTS code with customs broker. Section 301 (US/China) or anti-dumping adds significantly for covered categories"
CBAM Adjustment,Carbon Border Adjustment Mechanism cost (EU imports of covered categories from 2026),Embedded CO2 × CBAM certificate price,0.42,"Applies to iron/steel, aluminium, cement, fertilisers, electricity, hydrogen from non-EU origin. Estimate €30-50/tonne embedded CO2 in 2026 forecasts"
Inventory Carrying Cost,Cost of holding inventory during extended lead time (capital + storage + obsolescence),(Unit price × annual demand × carrying rate × extended lead time in years),0.31,"Carrying rate: 18-25% annual is typical (cost of capital 8% + storage 5% + insurance 2% + obsolescence 5-10% by category)"
Defect / Rework Cost,Cost of quality failures including rework, scrap, and customer returns,(PPM defect rate / 1M) × rework multiplier × unit price,0.13,"Rework multiplier rule of thumb: 3× unit price for reworkable defect, 10× for scrap, 30× for field-failure recall"
Payment Terms Cost,Cost of capital implication of accepting or offering payment terms,((Target terms - Actual terms) / 365) × unit price × cost of capital,0.09,"If your target is Net 60 and supplier only accepts Net 30, you lose 30 days × 8% / 365 = 0.66% of unit price effectively"
Switching Cost Amortization,One-time cost of changing supplier spread over first-year volume,(Tooling + audit + qualification cost) / first-year units,0.18,"Typical for custom tooling: €15k-€50k. Audit cost: €3k-€8k. Internal qualification: 40-120 hours × loaded cost"
Risk Premium (Single-Source),Implicit cost of no dual-source option (premium paid for concentrated dependency),Unit price × (0-5%) depending on single-source exposure,0.22,"Quantify by asking: if this supplier failed next quarter, what is your 90-day fallback cost? Price a 3% premium for critical categories with no dual source"
Currency Hedging Cost,Cost of forward contracts or options to lock FX rate,Approximately 0.5-1.5% of contract value for 12-month hedge,0.05,"For non-EUR quotes over €250k, standard practice is to hedge 50-70% of exposure. Your CFO will have a house view"
Total TCO per Unit,Sum of all above,=SUM(previous rows),11.64,"Compare to the 8.95 unit price: this supplier's true cost is 30% higher than the headline. Common pattern for long-lead-time offshore offers"
